"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1596","NBPF6",0.142696504568137,0.31744730195769,2.54232004540207,0,1,1
"1597","FAM102B",524.258839650952,-0.289684044456754,0.220535647759416,0,1,1
"1598","HENMT1",92.7398982691787,-0.320879809668334,0.242029591112726,0,1,1
"1599","PRPF38B",637.707054160202,0.328891840963578,0.12508000797229,0,1,1
"1600","FNDC7",8.72712271997875,0.360835842261792,0.41334458362558,0,1,1
"1601","SPATA42",0.281601652049611,1.03878989809742,1.65128867898899,0.0234906825142001,0.981258870712235,1
"1602","AKNAD1",7.45000817272307,0.794162096915959,0.350570744270999,0,1,1
"1603","CLCC1",627.347079724811,0.174840117293958,0.126462838679328,0,1,1
"1604","TMEM167B",369.386231497672,-0.101701214879632,0.110872104764862,0,1,1
"1605","C1orf194",16.4560822719276,-0.0440221072867467,0.256343985389019,0,1,1
"1606","TAF13",136.890175187264,0.0552056142531103,0.127304090074616,0,1,1
"1607","SCARNA2",8410.15748772134,0.134651252549051,0.138641079519303,0,1,1
"1608","PSRC1",664.577528988394,0.235731461438308,0.205239382380426,0,1,1
"1609","CELSR2",10280.4225251617,-0.12636147268072,0.107895186094205,0,1,1
